PSD @ YYE. Simulation done on 2023- 4-25   12h 9
           1,   4.4720000000000003E-003,
           2,   5.3959999999999998E-003,
           3,   8.5319999999999997E-003,
           4,   6.4933000000000005E-002,
           5,   6.4827999999999997E-002,
           6,   8.5430000000000002E-003,
           7,   5.4070000000000003E-003,
           8,   4.4830000000000000E-003,
           9,   4.5480000000000000E-003,
          10,   5.4450000000000002E-003,
          11,   8.6070000000000001E-003,
          12,   6.4685999999999994E-002,
          13,   6.5115999999999993E-002,
          14,   8.7440000000000000E-003,
          15,   5.3699999999999998E-003,
          16,   4.4359999999999998E-003,
          17,   4.4039999999999999E-003,
          18,   5.5329999999999997E-003,
          19,   8.8430000000000002E-003,
          20,   6.4714999999999995E-002,
          21,   6.4249000000000001E-002,
          22,   8.4960000000000001E-003,
          23,   5.4110000000000000E-003,
          24,   4.4419999999999998E-003,
          25,   4.5529999999999998E-003,
          26,   5.3720000000000000E-003,
          27,   8.6029999999999995E-003,
          28,   6.4685999999999994E-002,
          29,   6.4869999999999997E-002,
          30,   8.5410000000000000E-003,
          31,   5.4990000000000004E-003,
          32,   4.4370000000000000E-003,
          33,   4.5519999999999996E-003,
          34,   5.4419999999999998E-003,
          35,   8.6309999999999998E-003,
          36,   6.4875000000000002E-002,
          37,   6.4832000000000001E-002,
          38,   8.5740000000000000E-003,
          39,   5.5469999999999998E-003,
          40,   4.6080000000000001E-003,
          41,   4.4019999999999997E-003,
          42,   5.3740000000000003E-003,
          43,   8.6060000000000008E-003,
          44,   6.4875000000000002E-002,
          45,   6.4891000000000004E-002,
          46,   8.5009999999999999E-003,
          47,   5.5579999999999996E-003,
          48,   4.5319999999999996E-003,
